LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MT: KALISPELL,02/01/2017 16:03:00,,2104.00,1198.00,334.00,171.00,100.00,127.00,68.00,27.00,APPROVED
MT: KALISPELL,02/01/2017 17:03:00,,2113.00,1190.00,334.00,172.00,100.00,129.00,69.00,29.00,APPROVED
MT: KALISPELL,02/01/2017 18:03:00,,2089.00,1188.00,330.00,173.00,100.00,126.00,70.00,30.00,APPROVED
MT: KALISPELL,02/01/2017 19:03:00,,2063.00,1176.00,328.00,177.00,100.00,125.00,72.00,29.00,APPROVED
MT: KALISPELL,02/01/2017 20:04:00,,2010.00,1152.00,325.00,172.00,99.00,122.00,71.00,29.00,APPROVED
MT: KALISPELL,02/01/2017 21:04:00,,1977.00,1125.00,321.00,175.00,97.00,123.00,71.00,29.00,APPROVED
MT: KALISPELL,02/01/2017 22:04:00,,1942.00,1092.00,305.00,165.00,96.00,118.00,67.00,29.00,APPROVED
MT: KALISPELL,02/01/2017 23:04:00,,1986.00,1092.00,305.00,159.00,93.00,115.00,67.00,29.00,APPROVED
MT: KALISPELL,02/02/2017 00:04:00,,1986.00,1090.00,300.00,153.00,93.00,111.00,65.00,27.00,APPROVED
MT: KALISPELL,02/02/2017 01:05:00,,1967.00,1066.00,292.00,149.00,88.00,107.00,64.00,27.00,APPROVED
MT: KALISPELL,02/02/2017 02:05:00,,1980.00,1057.00,290.00,147.00,90.00,107.00,62.00,28.00,APPROVED
MT: KALISPELL,02/02/2017 03:05:00,,1980.00,1074.00,292.00,151.00,91.00,109.00,64.00,27.00,APPROVED
MT: KALISPELL,02/02/2017 04:05:00,,2006.00,1104.00,301.00,157.00,92.00,110.00,65.00,28.00,APPROVED
MT: KALISPELL,02/02/2017 05:05:00,,2043.00,1146.00,317.00,159.00,95.00,120.00,66.00,27.00,APPROVED
MT: KALISPELL,02/02/2017 06:06:00,,2049.00,1167.00,323.00,164.00,96.00,122.00,65.00,28.00,APPROVED
MT: KALISPELL,02/02/2017 07:06:00,,2105.00,1247.00,349.00,179.00,104.00,141.00,70.00,29.00,APPROVED
MT: KALISPELL,02/02/2017 08:06:00,,2136.00,1287.00,365.00,189.00,107.00,145.00,71.00,30.00,APPROVED
MT: KALISPELL,02/02/2017 09:06:00,,2167.00,1333.00,378.00,197.00,109.00,155.00,74.00,31.00,APPROVED
MT: KALISPELL,02/02/2017 10:06:00,,2187.00,1362.00,400.00,201.00,115.00,159.00,76.00,32.00,APPROVED
MT: KALISPELL,02/02/2017 11:07:00,,2176.00,1345.00,391.00,200.00,112.00,156.00,78.00,31.00,APPROVED
MT: KALISPELL,02/02/2017 12:07:00,,2250.00,1438.00,421.00,214.00,117.00,170.00,84.00,33.00,APPROVED
MT: KALISPELL,02/02/2017 13:07:00,,2316.00,1542.00,455.00,233.00,127.00,189.00,89.00,34.00,APPROVED
MT: KALISPELL,02/02/2017 14:07:00,,2330.00,1521.00,451.00,234.00,125.00,184.00,89.00,35.00,APPROVED
MT: KALISPELL,02/02/2017 15:07:00,,2354.00,1523.00,459.00,231.00,130.00,186.00,86.00,34.00,APPROVED
MT: KALISPELL,02/02/2017 16:08:00,,2338.00,1524.00,458.00,231.00,129.00,184.00,89.00,34.00,APPROVED
MT: KALISPELL,02/02/2017 17:08:00,,2338.00,1508.00,442.00,230.00,125.00,180.00,88.00,34.00,APPROVED
MT: KALISPELL,02/02/2017 18:07:00,,2322.00,1444.00,431.00,215.00,123.00,175.00,80.00,33.00,APPROVED
MT: KALISPELL,02/02/2017 19:14:00,,2103.00,1124.00,316.00,146.00,92.00,118.00,53.00,26.00,APPROVED
MT: KALISPELL,02/02/2017 20:14:00,,2076.00,1139.00,330.00,156.00,94.00,131.00,56.00,28.00,APPROVED
MT: KALISPELL,02/02/2017 21:14:00,,2010.00,1095.00,317.00,146.00,92.00,125.00,56.00,27.00,APPROVED
MT: KALISPELL,02/02/2017 22:14:00,,1961.00,1056.00,309.00,144.00,91.00,126.00,52.00,25.00,APPROVED
MT: KALISPELL,02/02/2017 23:14:00,,1935.00,1043.00,301.00,142.00,91.00,120.00,51.00,26.00,APPROVED
MT: KALISPELL,02/03/2017 00:15:00,,1969.00,1041.00,296.00,138.00,88.00,117.00,49.00,26.00,APPROVED
MT: KALISPELL,02/03/2017 01:15:00,,2010.00,1072.00,306.00,144.00,91.00,117.00,53.00,26.00,APPROVED
MT: KALISPELL,02/03/2017 02:15:00,,2089.00,1178.00,328.00,157.00,97.00,127.00,60.00,28.00,APPROVED
MT: KALISPELL,02/03/2017 03:15:00,,2177.00,1292.00,365.00,182.00,105.00,140.00,68.00,31.00,APPROVED
MT: KALISPELL,02/03/2017 04:15:00,,2192.00,1325.00,383.00,198.00,112.00,151.00,75.00,31.00,APPROVED
MT: KALISPELL,02/03/2017 05:16:00,,2187.00,1317.00,376.00,192.00,110.00,148.00,75.00,31.00,APPROVED
MT: KALISPELL,02/03/2017 06:16:00,,2216.00,1342.00,384.00,194.00,112.00,149.00,74.00,29.00,APPROVED
MT: KALISPELL,02/03/2017 07:16:00,,2270.00,1380.00,400.00,200.00,115.00,158.00,78.00,32.00,APPROVED
MT: KALISPELL,02/03/2017 08:16:00,,2258.00,1361.00,397.00,199.00,117.00,157.00,75.00,31.00,APPROVED
MT: KALISPELL,02/03/2017 09:16:00,,2284.00,1375.00,401.00,202.00,113.00,157.00,75.00,29.00,APPROVED
MT: KALISPELL,02/03/2017 10:17:00,,2281.00,1387.00,403.00,204.00,116.00,160.00,76.00,32.00,APPROVED
MT: KALISPELL,02/03/2017 11:17:00,,2305.00,1427.00,410.00,208.00,119.00,165.00,80.00,33.00,APPROVED
MT: KALISPELL,02/03/2017 12:17:00,,2298.00,1401.00,404.00,204.00,114.00,162.00,80.00,32.00,APPROVED
MT: KALISPELL,02/03/2017 13:17:00,,2296.00,1384.00,398.00,201.00,117.00,156.00,79.00,32.00,APPROVED
MT: KALISPELL,02/03/2017 14:17:00,,2300.00,1387.00,398.00,199.00,113.00,159.00,78.00,31.00,APPROVED
MT: KALISPELL,02/03/2017 15:18:00,,2503.00,1564.00,449.00,226.00,126.00,173.00,84.00,34.00,APPROVED
MT: KALISPELL,02/03/2017 16:18:00,,2563.00,1587.00,471.00,233.00,127.00,185.00,90.00,33.00,APPROVED
