LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2011 00:25:00,,1674.00,936.00,276.00,147.00,85.00,101.00,64.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2011 01:25:00,,1696.00,954.00,278.00,149.00,84.00,102.00,66.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2011 02:25:00,,1683.00,945.00,274.00,148.00,85.00,103.00,66.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 03:26:00,,1672.00,939.00,276.00,145.00,85.00,100.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 04:26:00,,1698.00,957.00,275.00,147.00,85.00,102.00,66.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 05:26:00,,1681.00,945.00,274.00,146.00,84.00,104.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 06:26:00,,1689.00,959.00,279.00,147.00,82.00,102.00,64.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 07:26:00,,1682.00,950.00,274.00,147.00,82.00,101.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 08:27:00,,1673.00,947.00,275.00,146.00,83.00,102.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 09:27:00,,1673.00,938.00,276.00,145.00,83.00,102.00,64.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2011 10:27:00,,1687.00,950.00,278.00,148.00,84.00,103.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 11:27:00,,1743.00,983.00,287.00,155.00,87.00,107.00,67.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 12:28:00,,1759.00,1002.00,292.00,161.00,87.00,108.00,67.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 13:28:00,,1761.00,994.00,289.00,156.00,87.00,107.00,66.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 14:28:00,,1727.00,964.00,281.00,153.00,86.00,105.00,66.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 15:28:00,,1729.00,964.00,282.00,148.00,83.00,101.00,64.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2011 16:28:00,,1725.00,969.00,277.00,148.00,84.00,102.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 17:29:00,,1749.00,968.00,280.00,153.00,86.00,104.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 18:29:00,,1752.00,986.00,282.00,151.00,85.00,102.00,68.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2011 19:29:00,,1724.00,965.00,279.00,157.00,87.00,105.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 20:29:00,,1735.00,959.00,280.00,150.00,85.00,103.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2011 21:30:00,,1737.00,975.00,282.00,150.00,84.00,103.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2011 22:30:00,,1741.00,972.00,281.00,153.00,85.00,105.00,64.00,33.00,APPROVED
