LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2014 00:06:00,,1760.00,1008.00,316.00,144.00,91.00,125.00,54.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2014 01:06:00,,1755.00,988.00,315.00,138.00,89.00,121.00,56.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 02:06:00,,1818.00,1037.00,330.00,143.00,91.00,124.00,57.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 03:06:00,,1838.00,1053.00,337.00,151.00,95.00,129.00,58.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 04:06:00,,1831.00,1050.00,341.00,149.00,92.00,131.00,58.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 05:07:00,,1790.00,1034.00,331.00,147.00,93.00,127.00,56.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 06:07:00,,1769.00,1008.00,320.00,145.00,91.00,125.00,57.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 07:07:00,,1774.00,1008.00,322.00,144.00,93.00,124.00,57.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 08:07:00,,1777.00,1003.00,321.00,141.00,91.00,125.00,56.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2014 09:08:00,,1783.00,1027.00,321.00,142.00,91.00,125.00,57.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2014 10:08:00,,1802.00,1038.00,337.00,147.00,92.00,129.00,57.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2014 11:08:00,,1789.00,1028.00,328.00,150.00,93.00,128.00,57.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 12:08:00,,1813.00,1051.00,340.00,150.00,96.00,129.00,57.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 13:08:00,,1905.00,1127.00,368.00,161.00,102.00,141.00,64.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 14:09:00,,1907.00,1130.00,369.00,161.00,104.00,142.00,65.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 15:09:00,,1853.00,1088.00,361.00,160.00,100.00,139.00,63.00,38.00,APPROVED
LA: BATON ROUGE,01/01/2014 16:09:00,,1848.00,1089.00,349.00,157.00,99.00,135.00,63.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 17:09:00,,1805.00,1056.00,341.00,152.00,94.00,131.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2014 18:10:00,,1780.00,1023.00,325.00,147.00,93.00,126.00,60.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 19:10:00,,1764.00,1016.00,318.00,149.00,92.00,125.00,60.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2014 20:10:00,,1755.00,1009.00,315.00,149.00,89.00,121.00,62.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 21:10:00,,1766.00,1008.00,315.00,146.00,93.00,121.00,61.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 22:10:00,,1792.00,1043.00,328.00,148.00,96.00,124.00,63.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2014 23:11:00,,1822.00,1056.00,327.00,153.00,94.00,127.00,63.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 00:11:00,,1828.00,1054.00,332.00,156.00,98.00,127.00,63.00,35.00,APPROVED
LA: BATON ROUGE,01/02/2014 01:11:00,,1842.00,1067.00,333.00,153.00,95.00,130.00,66.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 02:11:00,,2086.00,1265.00,394.00,180.00,110.00,153.00,73.00,39.00,APPROVED
LA: BATON ROUGE,01/02/2014 03:12:00,,2242.00,1400.00,445.00,201.00,121.00,168.00,81.00,41.00,APPROVED
LA: BATON ROUGE,01/02/2014 04:12:00,,2279.00,1434.00,460.00,208.00,124.00,177.00,84.00,41.00,APPROVED
LA: BATON ROUGE,01/02/2014 05:12:00,,2085.00,1289.00,421.00,190.00,111.00,158.00,78.00,39.00,APPROVED
LA: BATON ROUGE,01/02/2014 06:12:00,,1920.00,1171.00,375.00,171.00,104.00,146.00,69.00,38.00,APPROVED
LA: BATON ROUGE,01/02/2014 07:12:00,,1818.00,1094.00,358.00,164.00,99.00,138.00,70.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 08:13:00,,1764.00,1061.00,339.00,158.00,96.00,134.00,65.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 09:13:00,,1765.00,1056.00,340.00,160.00,98.00,133.00,66.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 10:13:00,,1768.00,1082.00,346.00,163.00,98.00,138.00,66.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 11:13:00,,1859.00,1147.00,370.00,171.00,102.00,145.00,70.00,38.00,APPROVED
LA: BATON ROUGE,01/02/2014 12:14:00,,1849.00,1130.00,370.00,172.00,104.00,145.00,69.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 13:14:00,,1791.00,1089.00,351.00,164.00,99.00,141.00,67.00,38.00,APPROVED
LA: BATON ROUGE,01/02/2014 14:14:00,,1738.00,1026.00,327.00,153.00,93.00,128.00,62.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 15:14:00,,1738.00,1002.00,315.00,145.00,90.00,123.00,60.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 16:14:00,,1751.00,994.00,316.00,144.00,89.00,118.00,58.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 17:15:00,,1768.00,1009.00,321.00,144.00,89.00,120.00,60.00,37.00,APPROVED
LA: BATON ROUGE,01/02/2014 18:15:00,,1809.00,1030.00,325.00,146.00,94.00,123.00,59.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 19:15:00,,1800.00,1039.00,328.00,147.00,91.00,125.00,58.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 20:15:00,,1788.00,1030.00,326.00,149.00,94.00,127.00,60.00,36.00,APPROVED
LA: BATON ROUGE,01/02/2014 20:54:00,,1784.00,1024.00,319.00,146.00,91.00,123.00,60.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2014 22:11:00,,1691.00,904.00,279.00,127.00,81.00,106.00,52.00,33.00,APPROVED
LA: BATON ROUGE,01/02/2014 23:11:00,,1682.00,935.00,290.00,132.00,84.00,113.00,53.00,35.00,APPROVED
LA: BATON ROUGE,01/03/2014 00:11:00,,1685.00,927.00,288.00,129.00,82.00,110.00,52.00,35.00,APPROVED
LA: BATON ROUGE,01/03/2014 01:11:00,,1643.00,902.00,283.00,128.00,81.00,111.00,49.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 02:11:00,,1644.00,897.00,278.00,126.00,81.00,106.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 03:12:00,,1636.00,896.00,280.00,126.00,80.00,107.00,49.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 04:12:00,,1651.00,904.00,281.00,127.00,84.00,109.00,49.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 05:12:00,,1655.00,905.00,285.00,126.00,83.00,110.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 06:12:00,,1657.00,908.00,285.00,125.00,81.00,111.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 07:13:00,,1652.00,908.00,290.00,128.00,84.00,112.00,47.00,35.00,APPROVED
LA: BATON ROUGE,01/03/2014 08:13:00,,1649.00,899.00,286.00,126.00,82.00,111.00,47.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 09:13:00,,1659.00,910.00,291.00,126.00,85.00,112.00,48.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 10:13:00,,1645.00,906.00,289.00,125.00,85.00,112.00,47.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 11:13:00,,1652.00,907.00,289.00,128.00,84.00,111.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 12:14:00,,1645.00,902.00,284.00,125.00,84.00,113.00,48.00,35.00,APPROVED
LA: BATON ROUGE,01/03/2014 13:14:00,,1637.00,899.00,283.00,129.00,84.00,112.00,47.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 14:14:00,,1627.00,888.00,286.00,127.00,82.00,108.00,46.00,32.00,APPROVED
LA: BATON ROUGE,01/03/2014 15:14:00,,1610.00,877.00,282.00,126.00,82.00,109.00,45.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 16:15:00,,1612.00,878.00,275.00,120.00,81.00,108.00,47.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 17:15:00,,1615.00,881.00,275.00,125.00,82.00,107.00,44.00,34.00,APPROVED
LA: BATON ROUGE,01/03/2014 18:15:00,,1628.00,873.00,274.00,123.00,79.00,106.00,47.00,32.00,APPROVED
LA: BATON ROUGE,01/03/2014 19:15:00,,1619.00,872.00,267.00,124.00,79.00,107.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 20:15:00,,1627.00,871.00,269.00,120.00,78.00,102.00,47.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 21:16:00,,1633.00,877.00,273.00,122.00,80.00,106.00,48.00,35.00,APPROVED
LA: BATON ROUGE,01/03/2014 22:16:00,,1623.00,871.00,266.00,123.00,79.00,103.00,48.00,33.00,APPROVED
LA: BATON ROUGE,01/03/2014 23:16:00,,1616.00,855.00,270.00,124.00,79.00,102.00,47.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 00:16:00,,1602.00,855.00,265.00,120.00,77.00,103.00,47.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 01:17:00,,1603.00,851.00,269.00,120.00,76.00,104.00,46.00,31.00,APPROVED
LA: BATON ROUGE,01/04/2014 02:17:00,,1599.00,853.00,265.00,120.00,81.00,101.00,44.00,32.00,APPROVED
LA: BATON ROUGE,01/04/2014 03:17:00,,1608.00,848.00,265.00,119.00,79.00,104.00,43.00,32.00,APPROVED
LA: BATON ROUGE,01/04/2014 04:17:00,,1592.00,852.00,269.00,121.00,80.00,104.00,44.00,32.00,APPROVED
LA: BATON ROUGE,01/04/2014 05:17:00,,1595.00,850.00,265.00,120.00,77.00,101.00,43.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 06:18:00,,1608.00,856.00,266.00,118.00,79.00,103.00,45.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 07:18:00,,1606.00,851.00,270.00,118.00,79.00,106.00,44.00,32.00,APPROVED
LA: BATON ROUGE,01/04/2014 08:18:00,,1601.00,864.00,270.00,123.00,80.00,103.00,43.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 09:18:00,,1604.00,859.00,271.00,123.00,80.00,106.00,45.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 10:19:00,,1607.00,864.00,272.00,122.00,78.00,105.00,46.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 11:19:00,,1606.00,874.00,275.00,123.00,80.00,106.00,45.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 12:19:00,,1601.00,872.00,274.00,124.00,81.00,105.00,44.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 13:19:00,,1612.00,872.00,277.00,122.00,80.00,106.00,47.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 14:19:00,,1622.00,878.00,278.00,126.00,81.00,109.00,46.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 15:20:00,,1619.00,886.00,280.00,127.00,79.00,109.00,46.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 16:20:00,,1630.00,898.00,281.00,122.00,80.00,109.00,46.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 17:20:00,,1633.00,890.00,279.00,124.00,80.00,110.00,47.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 18:20:00,,1633.00,886.00,280.00,124.00,82.00,108.00,51.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 19:21:00,,1631.00,890.00,276.00,128.00,81.00,103.00,51.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 20:21:00,,1634.00,885.00,273.00,128.00,80.00,103.00,52.00,34.00,APPROVED
LA: BATON ROUGE,01/04/2014 21:21:00,,1610.00,877.00,269.00,125.00,82.00,103.00,54.00,33.00,APPROVED
LA: BATON ROUGE,01/04/2014 22:21:00,,1613.00,876.00,269.00,124.00,79.00,100.00,54.00,35.00,APPROVED
LA: BATON ROUGE,01/04/2014 23:22:00,,1623.00,876.00,265.00,126.00,77.00,101.00,52.00,32.00,APPROVED
LA: BATON ROUGE,01/05/2014 00:22:00,,1639.00,879.00,267.00,125.00,78.00,103.00,50.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 01:22:00,,1640.00,882.00,267.00,124.00,79.00,103.00,52.00,32.00,APPROVED
LA: BATON ROUGE,01/05/2014 02:22:00,,1641.00,875.00,271.00,123.00,80.00,105.00,51.00,33.00,APPROVED
LA: BATON ROUGE,01/05/2014 03:22:00,,1632.00,881.00,274.00,126.00,80.00,108.00,48.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 04:23:00,,1646.00,892.00,274.00,125.00,81.00,106.00,50.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 05:23:00,,1642.00,896.00,275.00,125.00,81.00,104.00,51.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 06:23:00,,1641.00,887.00,280.00,127.00,81.00,107.00,50.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 07:23:00,,1637.00,892.00,277.00,128.00,81.00,105.00,51.00,35.00,APPROVED
LA: BATON ROUGE,01/05/2014 08:24:00,,1637.00,897.00,275.00,128.00,83.00,108.00,53.00,35.00,APPROVED
LA: BATON ROUGE,01/05/2014 09:24:00,,1647.00,891.00,276.00,127.00,79.00,108.00,51.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 10:24:00,,1638.00,897.00,279.00,126.00,80.00,107.00,52.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 11:24:00,,1650.00,889.00,279.00,128.00,83.00,107.00,50.00,34.00,APPROVED
LA: BATON ROUGE,01/05/2014 12:24:00,,1637.00,901.00,283.00,130.00,82.00,111.00,51.00,35.00,APPROVED
LA: BATON ROUGE,01/05/2014 13:25:00,,1650.00,910.00,280.00,130.00,83.00,108.00,52.00,34.00,APPROVED
