LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2012 00:48:00,,1670.00,976.00,283.00,149.00,84.00,104.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 01:48:00,,1650.00,963.00,281.00,149.00,84.00,102.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2012 02:48:00,,1638.00,962.00,279.00,144.00,84.00,101.00,65.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2012 03:48:00,,1642.00,952.00,281.00,141.00,81.00,99.00,64.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2012 04:49:00,,1647.00,957.00,283.00,145.00,83.00,101.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 05:49:00,,1647.00,967.00,280.00,147.00,84.00,102.00,64.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2012 06:49:00,,1646.00,950.00,274.00,144.00,83.00,102.00,63.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2012 07:49:00,,1663.00,963.00,282.00,144.00,85.00,101.00,65.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2012 08:49:00,,1663.00,961.00,280.00,144.00,84.00,101.00,63.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2012 09:50:00,,1655.00,964.00,284.00,141.00,84.00,102.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 10:50:00,,1667.00,965.00,281.00,145.00,85.00,102.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 11:50:00,,1663.00,975.00,286.00,149.00,86.00,101.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 12:50:00,,1692.00,997.00,288.00,153.00,85.00,106.00,67.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 13:51:00,,1666.00,975.00,282.00,151.00,88.00,104.00,66.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 14:51:00,,1664.00,970.00,284.00,148.00,87.00,103.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/01/2012 15:51:00,,1681.00,995.00,287.00,153.00,85.00,106.00,66.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 16:51:00,,1760.00,1046.00,298.00,162.00,91.00,112.00,67.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2012 17:51:00,,1764.00,1047.00,299.00,162.00,90.00,113.00,70.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 18:52:00,,1737.00,1045.00,298.00,162.00,92.00,112.00,69.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 19:52:00,,1733.00,1042.00,300.00,160.00,89.00,110.00,69.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 20:52:00,,1731.00,1037.00,299.00,161.00,90.00,112.00,68.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 21:52:00,,1738.00,1041.00,300.00,160.00,91.00,110.00,70.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2012 22:53:00,,1740.00,1027.00,295.00,158.00,87.00,108.00,67.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2012 23:53:00,,1699.00,1000.00,293.00,155.00,87.00,107.00,64.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 00:53:00,,1698.00,998.00,295.00,154.00,86.00,105.00,66.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 01:53:00,,1721.00,998.00,291.00,150.00,87.00,106.00,64.00,35.00,APPROVED
LA: BATON ROUGE,01/02/2012 02:53:00,,1722.00,1001.00,292.00,150.00,89.00,104.00,63.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 03:54:00,,1708.00,997.00,287.00,150.00,88.00,105.00,65.00,35.00,APPROVED
LA: BATON ROUGE,01/02/2012 04:54:00,,1714.00,998.00,288.00,149.00,85.00,105.00,64.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 05:54:00,,1695.00,982.00,287.00,148.00,86.00,104.00,62.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 06:54:00,,1703.00,983.00,290.00,146.00,87.00,104.00,66.00,34.00,APPROVED
LA: BATON ROUGE,01/02/2012 07:55:00,,1691.00,976.00,293.00,147.00,85.00,101.00,64.00,33.00,APPROVED
LA: BATON ROUGE,01/02/2012 08:55:00,,1697.00,977.00,288.00,145.00,84.00,103.00,63.00,34.00,APPROVED
