LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2010 00:22:00,,1623.00,891.00,268.00,132.00,79.00,100.00,59.00,32.00,APPROVED
LA: BATON ROUGE,01/01/2010 01:22:00,,1625.00,895.00,271.00,132.00,78.00,100.00,60.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 02:22:00,,1650.00,919.00,272.00,139.00,80.00,104.00,62.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 03:22:00,,1647.00,915.00,282.00,141.00,81.00,105.00,61.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 04:23:00,,1661.00,938.00,286.00,140.00,84.00,107.00,60.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 05:23:00,,1704.00,973.00,295.00,148.00,88.00,116.00,63.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 06:23:00,,1937.00,1154.00,347.00,175.00,98.00,136.00,72.00,37.00,APPROVED
LA: BATON ROUGE,01/01/2010 07:23:00,,1828.00,1077.00,333.00,166.00,94.00,132.00,70.00,36.00,APPROVED
LA: BATON ROUGE,01/01/2010 08:23:00,,1691.00,975.00,297.00,148.00,85.00,115.00,61.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 09:24:00,,1654.00,942.00,290.00,144.00,83.00,113.00,61.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 10:24:00,,1651.00,935.00,289.00,138.00,83.00,109.00,60.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 11:24:00,,1652.00,925.00,282.00,138.00,81.00,110.00,59.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 12:24:00,,1631.00,921.00,284.00,134.00,83.00,109.00,59.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 13:25:00,,1621.00,913.00,286.00,133.00,82.00,107.00,56.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 14:25:00,,1620.00,914.00,282.00,133.00,82.00,109.00,56.00,32.00,APPROVED
LA: BATON ROUGE,01/01/2010 15:25:00,,1633.00,913.00,284.00,134.00,81.00,105.00,56.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 16:25:00,,1641.00,914.00,283.00,137.00,81.00,110.00,58.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 17:25:00,,1652.00,921.00,283.00,139.00,81.00,109.00,57.00,33.00,APPROVED
LA: BATON ROUGE,01/01/2010 18:26:00,,1642.00,926.00,282.00,138.00,82.00,106.00,56.00,34.00,APPROVED
LA: BATON ROUGE,01/01/2010 19:26:00,,1644.00,920.00,279.00,138.00,80.00,107.00,59.00,33.00,APPROVED
