LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2018 00:06:00,45.00,1614.00,1053.00,294.00,179.00,93.00,128.00,81.00,62.00,APPROVED
LA: BATON ROUGE,01/01/2018 01:06:00,45.00,1608.00,1043.00,292.00,175.00,92.00,126.00,84.00,59.00,APPROVED
LA: BATON ROUGE,01/01/2018 02:06:00,43.00,1577.00,1009.00,289.00,164.00,91.00,122.00,81.00,58.00,APPROVED
LA: BATON ROUGE,01/01/2018 03:07:00,44.00,1547.00,982.00,282.00,157.00,86.00,117.00,81.00,57.00,APPROVED
LA: BATON ROUGE,01/01/2018 04:07:00,44.00,1539.00,953.00,275.00,153.00,84.00,114.00,82.00,56.00,APPROVED
LA: BATON ROUGE,01/01/2018 05:07:00,43.00,1514.00,942.00,264.00,149.00,83.00,113.00,81.00,55.00,APPROVED
LA: BATON ROUGE,01/01/2018 06:07:00,42.00,1491.00,917.00,263.00,140.00,81.00,109.00,79.00,54.00,APPROVED
LA: BATON ROUGE,01/01/2018 07:08:00,42.00,1485.00,908.00,260.00,143.00,84.00,109.00,82.00,54.00,APPROVED
LA: BATON ROUGE,01/01/2018 08:08:00,43.00,1503.00,914.00,266.00,142.00,80.00,109.00,82.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2018 09:08:00,40.00,1496.00,922.00,262.00,139.00,82.00,111.00,81.00,53.00,APPROVED
LA: BATON ROUGE,01/01/2018 10:08:00,40.00,1486.00,909.00,263.00,141.00,80.00,108.00,84.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2018 11:09:00,41.00,1493.00,903.00,261.00,137.00,82.00,110.00,83.00,51.00,APPROVED
LA: BATON ROUGE,01/01/2018 12:09:00,42.00,1493.00,910.00,263.00,137.00,81.00,110.00,80.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2018 13:09:00,41.00,1489.00,913.00,263.00,141.00,82.00,108.00,83.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2018 14:09:00,41.00,1486.00,901.00,255.00,137.00,81.00,109.00,83.00,51.00,APPROVED
LA: BATON ROUGE,01/01/2018 15:09:00,42.00,1489.00,909.00,264.00,139.00,80.00,110.00,83.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2018 16:10:00,43.00,1492.00,908.00,261.00,138.00,81.00,112.00,84.00,52.00,APPROVED
