LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2019 00:15:00,39.00,1573.00,856.00,252.00,131.00,79.00,106.00,72.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 01:15:00,41.00,1555.00,847.00,251.00,128.00,79.00,105.00,71.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 02:15:00,40.00,1564.00,847.00,247.00,129.00,78.00,106.00,70.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 03:15:00,40.00,1563.00,847.00,252.00,132.00,79.00,106.00,69.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 04:15:00,39.00,1571.00,857.00,248.00,132.00,78.00,105.00,67.00,45.00,APPROVED
LA: BATON ROUGE,01/01/2019 05:16:00,41.00,1574.00,859.00,253.00,132.00,80.00,106.00,71.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 06:16:00,42.00,1590.00,868.00,252.00,134.00,79.00,109.00,71.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 07:16:00,39.00,1599.00,878.00,255.00,135.00,81.00,106.00,70.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 08:16:00,40.00,1598.00,869.00,256.00,134.00,79.00,109.00,71.00,45.00,APPROVED
LA: BATON ROUGE,01/01/2019 09:17:00,42.00,1602.00,869.00,255.00,132.00,79.00,106.00,71.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 10:17:00,41.00,1608.00,874.00,256.00,135.00,83.00,107.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 11:17:00,42.00,1611.00,884.00,258.00,135.00,82.00,105.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 12:17:00,41.00,1619.00,885.00,257.00,137.00,81.00,107.00,72.00,48.00,APPROVED
LA: BATON ROUGE,01/01/2019 13:18:00,42.00,1605.00,885.00,256.00,137.00,82.00,107.00,73.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 14:18:00,42.00,1610.00,890.00,259.00,137.00,81.00,108.00,71.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 15:18:00,42.00,1606.00,894.00,256.00,137.00,83.00,110.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 16:18:00,41.00,1619.00,890.00,258.00,139.00,82.00,111.00,74.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 17:18:00,43.00,1616.00,892.00,259.00,137.00,83.00,111.00,73.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2019 18:19:00,40.00,1609.00,891.00,256.00,137.00,81.00,110.00,72.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 19:19:00,42.00,1601.00,883.00,256.00,133.00,80.00,109.00,73.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 20:19:00,42.00,1601.00,882.00,260.00,133.00,84.00,109.00,72.00,48.00,APPROVED
LA: BATON ROUGE,01/01/2019 21:19:00,40.00,1616.00,878.00,261.00,136.00,79.00,109.00,73.00,48.00,APPROVED
LA: BATON ROUGE,01/01/2019 22:20:00,41.00,1615.00,887.00,257.00,138.00,80.00,109.00,73.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2019 23:20:00,41.00,1612.00,890.00,257.00,135.00,83.00,107.00,73.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 00:20:00,41.00,1608.00,885.00,258.00,136.00,85.00,109.00,73.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 01:20:00,41.00,1609.00,890.00,259.00,136.00,80.00,111.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 02:20:00,40.00,1614.00,889.00,261.00,138.00,82.00,109.00,73.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 03:21:00,41.00,1623.00,888.00,258.00,137.00,82.00,109.00,74.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 04:21:00,41.00,1617.00,885.00,260.00,137.00,82.00,108.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 05:21:00,43.00,1614.00,887.00,258.00,141.00,82.00,108.00,72.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 06:21:00,41.00,1619.00,894.00,260.00,137.00,81.00,111.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 07:22:00,40.00,1619.00,900.00,264.00,141.00,82.00,111.00,75.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 08:22:00,40.00,1619.00,901.00,263.00,138.00,83.00,110.00,74.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 09:22:00,44.00,1704.00,969.00,278.00,152.00,85.00,119.00,76.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 10:22:00,46.00,1747.00,1012.00,291.00,163.00,93.00,125.00,79.00,50.00,APPROVED
LA: BATON ROUGE,01/02/2019 11:22:00,43.00,1666.00,932.00,273.00,149.00,88.00,118.00,76.00,48.00,APPROVED
LA: BATON ROUGE,01/02/2019 12:23:00,41.00,1626.00,907.00,264.00,144.00,86.00,111.00,74.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 13:23:00,41.00,1630.00,918.00,266.00,148.00,83.00,111.00,75.00,46.00,APPROVED
LA: BATON ROUGE,01/02/2019 14:23:00,43.00,1664.00,947.00,272.00,152.00,88.00,118.00,76.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 15:23:00,44.00,1684.00,956.00,276.00,157.00,87.00,119.00,78.00,49.00,APPROVED
LA: BATON ROUGE,01/02/2019 16:24:00,42.00,1676.00,945.00,273.00,153.00,88.00,115.00,76.00,48.00,APPROVED
LA: BATON ROUGE,01/02/2019 17:24:00,42.00,1691.00,971.00,279.00,158.00,89.00,123.00,80.00,48.00,APPROVED
LA: BATON ROUGE,01/02/2019 18:24:00,44.00,1682.00,953.00,281.00,157.00,87.00,120.00,76.00,49.00,APPROVED
LA: BATON ROUGE,01/02/2019 19:24:00,42.00,1645.00,932.00,270.00,147.00,89.00,116.00,78.00,47.00,APPROVED
LA: BATON ROUGE,01/02/2019 20:24:00,42.00,1653.00,935.00,268.00,150.00,83.00,114.00,75.00,49.00,APPROVED
LA: BATON ROUGE,01/02/2019 21:25:00,41.00,1645.00,945.00,273.00,152.00,87.00,118.00,78.00,48.00,APPROVED
LA: BATON ROUGE,01/02/2019 22:25:00,42.00,1667.00,954.00,276.00,155.00,88.00,120.00,78.00,49.00,APPROVED
LA: BATON ROUGE,01/02/2019 23:25:00,43.00,1670.00,966.00,277.00,161.00,91.00,120.00,77.00,48.00,APPROVED
LA: BATON ROUGE,01/03/2019 00:25:00,42.00,1689.00,965.00,279.00,159.00,88.00,120.00,78.00,51.00,APPROVED
LA: BATON ROUGE,01/03/2019 01:26:00,45.00,1765.00,1020.00,297.00,169.00,92.00,125.00,81.00,51.00,APPROVED
LA: BATON ROUGE,01/03/2019 02:26:00,45.00,1744.00,1022.00,292.00,163.00,95.00,122.00,79.00,50.00,APPROVED
LA: BATON ROUGE,01/03/2019 03:26:00,44.00,1707.00,971.00,282.00,155.00,88.00,122.00,79.00,50.00,APPROVED
LA: BATON ROUGE,01/03/2019 04:26:00,44.00,1709.00,959.00,282.00,158.00,85.00,118.00,79.00,50.00,APPROVED
LA: BATON ROUGE,01/03/2019 05:26:00,47.00,1830.00,1069.00,306.00,171.00,97.00,130.00,84.00,49.00,APPROVED
LA: BATON ROUGE,01/03/2019 06:27:00,47.00,1812.00,1048.00,304.00,170.00,96.00,131.00,84.00,51.00,APPROVED
LA: BATON ROUGE,01/03/2019 07:27:00,43.00,1679.00,945.00,279.00,151.00,86.00,117.00,76.00,48.00,APPROVED
LA: BATON ROUGE,01/03/2019 08:27:00,41.00,1609.00,878.00,257.00,136.00,81.00,108.00,74.00,47.00,APPROVED
LA: BATON ROUGE,01/03/2019 09:27:00,41.00,1605.00,882.00,257.00,135.00,82.00,109.00,71.00,47.00,APPROVED
LA: BATON ROUGE,01/03/2019 10:28:00,40.00,1588.00,862.00,250.00,129.00,79.00,106.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/03/2019 11:28:00,41.00,1568.00,844.00,250.00,130.00,78.00,103.00,71.00,45.00,APPROVED
LA: BATON ROUGE,01/03/2019 12:28:00,39.00,1563.00,847.00,249.00,130.00,80.00,102.00,71.00,45.00,APPROVED
LA: BATON ROUGE,01/03/2019 13:28:00,42.00,1577.00,855.00,252.00,130.00,78.00,104.00,72.00,47.00,APPROVED
LA: BATON ROUGE,01/03/2019 14:29:00,40.00,1618.00,886.00,256.00,136.00,82.00,110.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/03/2019 15:29:00,41.00,1644.00,915.00,270.00,140.00,83.00,109.00,75.00,48.00,APPROVED
LA: BATON ROUGE,01/03/2019 16:29:00,44.00,1671.00,937.00,272.00,144.00,85.00,114.00,75.00,46.00,APPROVED
LA: BATON ROUGE,01/03/2019 23:52:00,51.00,1979.00,1191.00,344.00,199.00,104.00,145.00,89.00,53.00,APPROVED
LA: BATON ROUGE,01/04/2019 00:52:00,51.00,1919.00,1147.00,332.00,190.00,100.00,142.00,87.00,54.00,APPROVED
LA: BATON ROUGE,01/04/2019 01:52:00,47.00,1732.00,997.00,296.00,163.00,93.00,122.00,80.00,51.00,APPROVED
