LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: BATON ROUGE,01/01/2017 00:53:00,50.00,1730.00,1198.00,329.00,198.00,101.00,138.00,83.00,50.00,APPROVED
LA: BATON ROUGE,01/01/2017 01:53:00,50.00,1782.00,1251.00,344.00,208.00,102.00,143.00,85.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2017 02:53:00,54.00,1774.00,1252.00,356.00,216.00,107.00,149.00,88.00,52.00,APPROVED
LA: BATON ROUGE,01/01/2017 03:54:00,44.00,1504.00,1018.00,301.00,175.00,91.00,123.00,77.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2017 04:54:00,40.00,1373.00,897.00,262.00,151.00,78.00,111.00,70.00,44.00,APPROVED
LA: BATON ROUGE,01/01/2017 05:54:00,42.00,1446.00,973.00,281.00,160.00,87.00,114.00,73.00,45.00,APPROVED
LA: BATON ROUGE,01/01/2017 06:54:00,44.00,1511.00,1034.00,292.00,176.00,91.00,122.00,77.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2017 07:55:00,42.00,1393.00,924.00,270.00,158.00,82.00,113.00,72.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2017 08:55:00,38.00,1304.00,863.00,252.00,143.00,80.00,105.00,69.00,43.00,APPROVED
LA: BATON ROUGE,01/01/2017 09:55:00,39.00,1302.00,848.00,253.00,140.00,79.00,105.00,69.00,44.00,APPROVED
LA: BATON ROUGE,01/01/2017 10:55:00,39.00,1308.00,835.00,248.00,139.00,75.00,102.00,67.00,44.00,APPROVED
LA: BATON ROUGE,01/01/2017 11:55:00,38.00,1284.00,823.00,246.00,132.00,74.00,100.00,66.00,43.00,APPROVED
LA: BATON ROUGE,01/01/2017 12:56:00,39.00,1291.00,824.00,241.00,133.00,73.00,98.00,65.00,43.00,APPROVED
LA: BATON ROUGE,01/01/2017 13:56:00,37.00,1286.00,814.00,241.00,128.00,75.00,99.00,64.00,42.00,APPROVED
LA: BATON ROUGE,01/01/2017 14:56:00,36.00,1300.00,821.00,243.00,132.00,73.00,100.00,67.00,42.00,APPROVED
LA: BATON ROUGE,01/01/2017 15:56:00,37.00,1288.00,805.00,239.00,126.00,73.00,100.00,64.00,42.00,APPROVED
LA: BATON ROUGE,01/01/2017 16:57:00,38.00,1339.00,852.00,248.00,137.00,77.00,100.00,66.00,44.00,APPROVED
LA: BATON ROUGE,01/01/2017 17:57:00,45.00,1608.00,1087.00,311.00,181.00,92.00,132.00,80.00,47.00,APPROVED
LA: BATON ROUGE,01/01/2017 18:57:00,43.00,1438.00,942.00,274.00,155.00,85.00,114.00,74.00,45.00,APPROVED
LA: BATON ROUGE,01/01/2017 19:57:00,43.00,1435.00,950.00,276.00,159.00,83.00,115.00,72.00,45.00,APPROVED
LA: BATON ROUGE,01/01/2017 20:58:00,39.00,1383.00,899.00,264.00,148.00,78.00,110.00,70.00,43.00,APPROVED
LA: BATON ROUGE,01/01/2017 21:58:00,42.00,1407.00,925.00,265.00,153.00,81.00,108.00,71.00,46.00,APPROVED
LA: BATON ROUGE,01/01/2017 22:58:00,41.00,1345.00,858.00,251.00,140.00,79.00,104.00,67.00,44.00,APPROVED
LA: BATON ROUGE,01/01/2017 23:58:00,38.00,1323.00,850.00,246.00,136.00,75.00,101.00,66.00,43.00,APPROVED
LA: BATON ROUGE,01/02/2017 00:58:00,36.00,1282.00,805.00,236.00,127.00,73.00,97.00,65.00,42.00,APPROVED
LA: BATON ROUGE,01/02/2017 01:59:00,37.00,1269.00,801.00,239.00,126.00,73.00,96.00,65.00,42.00,APPROVED
LA: BATON ROUGE,01/02/2017 02:59:00,37.00,1274.00,810.00,238.00,126.00,72.00,98.00,67.00,41.00,APPROVED
LA: BATON ROUGE,01/02/2017 03:59:00,38.00,1283.00,809.00,242.00,129.00,73.00,97.00,66.00,43.00,APPROVED
LA: BATON ROUGE,01/02/2017 04:59:00,37.00,1280.00,804.00,240.00,131.00,72.00,97.00,64.00,41.00,APPROVED
LA: BATON ROUGE,01/02/2017 06:00:00,36.00,1280.00,803.00,236.00,128.00,73.00,99.00,64.00,42.00,APPROVED
LA: BATON ROUGE,01/02/2017 07:00:00,40.00,1278.00,800.00,240.00,124.00,73.00,96.00,63.00,42.00,APPROVED
LA: BATON ROUGE,01/02/2017 08:00:00,37.00,1288.00,809.00,240.00,128.00,72.00,97.00,64.00,41.00,APPROVED
